Baby,Time,Start Side,Left duration (min),Right duration (min),Total Duration (min),Note
Arlo,"4/11/23, 07:40",Right,,8,
Arlo,"4/11/23, 06:45",Left,8,,
Arlo,"4/11/23, 03:55",Right,,10,
Arlo,"4/11/23, 02:30",Right,4,6,
Arlo,"4/11/23, 01:15",Right,3,5,
Arlo,"4/10/23, 22:20",Left,8,3,
Arlo,"4/10/23, 19:15",Left,5,7,
Arlo,"4/10/23, 16:56",Right,2,8,
Arlo,"4/10/23, 13:55",Left,15,5,
Arlo,"4/10/23, 10:45",Right,,9,
Arlo,"4/10/23, 09:45",Left,12,,
Arlo,"4/10/23, 08:20",Left,7,6,
Arlo,"4/10/23, 06:55",Right,1,12,
Arlo,"4/10/23, 04:31",Left,9,,
Arlo,"4/10/23, 02:10",Right,,8,
Arlo,"4/10/23, 01:20",Right,,5,
Arlo,"4/9/23, 20:00",Left,6,,
Arlo,"4/9/23, 19:10",Right,,10,
Arlo,"4/9/23, 17:00",Left,7,,
Arlo,"4/9/23, 14:10",Right,,10,
Arlo,"4/9/23, 13:00",Left,6,,
Arlo,"4/9/23, 12:00",Right,4,9,
Arlo,"4/9/23, 09:50",Left,10,4,
Arlo,"4/9/23, 07:15",Right,,12,
Arlo,"4/9/23, 04:50",Left,10,,
Arlo,"4/9/23, 02:40",Right,,12,
Arlo,"4/9/23, 01:40",Left,6,,
Arlo,"4/8/23, 21:30",Right,7,7,
Arlo,"4/8/23, 18:15",Left,8,1,
Arlo,"4/8/23, 16:45",Right,,7,
Arlo,"4/8/23, 15:45",Left,6,,
Arlo,"4/8/23, 11:45",Right,2,15,
Arlo,"4/8/23, 11:00",Left,10,,
Arlo,"4/8/23, 09:02",Right,,13,
Arlo,"4/8/23, 07:16",Left,7,,
Arlo,"4/8/23, 06:00",Right,,7,
Arlo,"4/8/23, 04:48",Left,5,,
Arlo,"4/8/23, 03:20",Right,3,7,
Arlo,"4/7/23, 20:50",Left,8,,
Arlo,"4/7/23, 19:00",Right,4,16,
Arlo,"4/7/23, 14:58",Right,,8,
Arlo,"4/7/23, 13:35",Left,12,,
Arlo,"4/7/23, 12:22",Left,10,1,
Arlo,"4/7/23, 10:10",Right,,11,
Arlo,"4/7/23, 09:15",Left,7,,
Arlo,"4/7/23, 07:30",Right,2,8,
Arlo,"4/7/23, 05:57",Right,,5,
Arlo,"4/7/23, 04:30",Left,8,1,
Arlo,"4/7/23, 01:30",Right,3,9,
Arlo,"4/6/23, 22:15",Left,7,,
Arlo,"4/6/23, 19:40",Right,,5,
Arlo,"4/6/23, 16:40",Right,,12,
Arlo,"4/6/23, 15:20",Left,6,,
Arlo,"4/6/23, 13:40",Right,3,9,
Arlo,"4/6/23, 10:40",Left,6,2,
Arlo,"4/6/23, 09:45",Right,,8,
Arlo,"4/6/23, 08:10",Left,8,,
Arlo,"4/6/23, 06:10",Right,3,7,
Arlo,"4/6/23, 04:18",Right,,4,
Arlo,"4/6/23, 02:55",Left,8,1,
Arlo,"4/5/23, 20:20",Left,10,3,
Arlo,"4/5/23, 18:02",Right,5,15,
Arlo,"4/5/23, 14:01",Right,8,14,
Arlo,"4/5/23, 12:40",Left,10,2,
Arlo,"4/5/23, 10:05",Right,4,10,
Arlo,"4/5/23, 07:59",Left,7,,
Arlo,"4/5/23, 07:15",Right,,11,
Arlo,"4/5/23, 05:50",Left,10,4,
Arlo,"4/5/23, 03:10",Right,3,10,
Arlo,"4/5/23, 00:45",Left,10,,
Arlo,"4/4/23, 20:20",Right,,7,
Arlo,"4/4/23, 18:40",Right,15,7,
Arlo,"4/4/23, 13:10",Right,6,9,
Arlo,"4/4/23, 11:13",Left,12,5,
Arlo,"4/4/23, 09:20",Right,,13,
Arlo,"4/4/23, 08:26",Left,13,,
Arlo,"4/4/23, 07:14",Right,,13,
Arlo,"4/4/23, 04:54",Left,9,,
Arlo,"4/4/23, 03:17",Right,,9,
Arlo,"4/4/23, 02:00",Left,5,,
Arlo,"4/4/23, 01:15",Right,,5,
Arlo,"4/4/23, 00:01",Left,10,,
Arlo,"4/3/23, 21:30",Right,3,6,
Arlo,"4/3/23, 19:15",Right,4,7,
Arlo,"4/3/23, 17:20",Left,11,4,
Arlo,"4/3/23, 12:15",Right,3,12,
Arlo,"4/3/23, 09:56",Left,11,9,
Arlo,"4/3/23, 08:08",Right,,11,
Arlo,"4/3/23, 06:45",Left,11,,
Arlo,"4/3/23, 05:16",Right,7,7,
Arlo,"4/3/23, 02:49",Left,6,3,
Arlo,"4/2/23, 23:55",Right,,9,
Arlo,"4/2/23, 21:20",Left,7,,
Arlo,"4/2/23, 19:05",Left,8,6,
Arlo,"4/2/23, 17:15",Right,7,8,
Arlo,"4/2/23, 15:05",Left,14,,
Arlo,"4/2/23, 09:30",Right,,10,
Arlo,"4/2/23, 08:18",Left,10,,
Arlo,"4/2/23, 07:31",Right,,9,
Arlo,"4/2/23, 06:10",Left,13,,
Arlo,"4/2/23, 04:40",Right,,9,
Arlo,"4/2/23, 03:27",Left,13,,
Arlo,"4/2/23, 00:57",Right,,10,
Arlo,"4/1/23, 22:25",Left,14,,
Arlo,"4/1/23, 20:30",Left,7,2,
Arlo,"4/1/23, 18:21",Right,,9,
Arlo,"4/1/23, 17:15",,9,11,
Arlo,"4/1/23, 13:15",Right,,11,
Arlo,"4/1/23, 11:31",Right,4,14,
Arlo,"4/1/23, 10:30",Left,8,,
Arlo,"4/1/23, 09:05",Right,,10,
Arlo,"4/1/23, 07:00",Left,10,5,
Arlo,"4/1/23, 04:31",Right,,10,
Arlo,"4/1/23, 02:52",Left,10,,
Arlo,"4/1/23, 01:05",Left,9,4,
Arlo,"3/31/23, 22:40",Right,,10,
Arlo,"3/31/23, 20:30",Left,11,,
Arlo,"3/31/23, 18:10",Right,,11,
Arlo,"3/31/23, 17:20",Left,7,,,Snack at 6pm
Arlo,"3/31/23, 14:05",Right,4,11,
Arlo,"3/31/23, 12:15",Left,7,,
Arlo,"3/31/23, 10:10",Right,3,11,
Arlo,"3/31/23, 09:20",Left,7,,
Arlo,"3/31/23, 08:05",Right,,10,
Arlo,"3/31/23, 06:45",Left,7,4,,Big spit up :(
Arlo,"3/31/23, 05:15",Left,5,,
Arlo,"3/31/23, 03:45",Right,,10,
Arlo,"3/31/23, 01:25",Left,8,,
Arlo,"3/30/23, 22:25",Right,,10,
Arlo,"3/30/23, 20:06",Left,5,,
Arlo,"3/30/23, 19:19",Right,,9,
Arlo,"3/30/23, 17:15",,9,1,
Arlo,"3/30/23, 15:45",Left,14,5,
Arlo,"3/30/23, 13:10",Right,,12,
Arlo,"3/30/23, 10:19",Left,7,5,
Arlo,"3/30/23, 08:00",Left,10,8,
Arlo,"3/30/23, 06:38",Right,4,5,
Arlo,"3/30/23, 05:35",Left,10,,
Arlo,"3/30/23, 03:45",Right,1,9,
Arlo,"3/30/23, 01:00",Left,11,,
Arlo,"3/29/23, 22:05",Right,,9,
Arlo,"3/29/23, 19:32",Left,7,,
Arlo,"3/29/23, 18:31",Right,,7,
Arlo,"3/29/23, 17:15",Left,10,5,
Arlo,"3/29/23, 14:55",Right,4,9,
Arlo,"3/29/23, 13:30",Left,13,2,
Arlo,"3/29/23, 11:40",Left,7,5,
Arlo,"3/29/23, 09:45",Right,6,12,
Arlo,"3/29/23, 07:41",Left,11,3,
Arlo,"3/29/23, 05:23",Right,1,12,
Arlo,"3/29/23, 02:24",Left,7,3,
Arlo,"3/29/23, 01:29",Right,,7,
Arlo,"3/28/23, 23:23",Left,8,2,
Arlo,"3/28/23, 20:05",,6,2,
Arlo,"3/28/23, 18:50",Left,7,2,
Arlo,"3/28/23, 16:20",Right,3,13,
Arlo,"3/28/23, 14:01",Right,4,10,
Arlo,"3/28/23, 13:00",,11,5,
Arlo,"3/28/23, 10:20",Right,7,7,
Arlo,"3/28/23, 09:20",Left,7,,
Arlo,"3/28/23, 08:30",Right,5,11,
Arlo,"3/28/23, 05:45",Left,13,3,
Arlo,"3/28/23, 02:45",Right,5,9,
Arlo,"3/27/23, 23:56",Left,13,,
Arlo,"3/27/23, 21:22",Left,8,2,
Arlo,"3/27/23, 19:15",,5,9,
Arlo,"3/27/23, 15:50",Right,4,8,
Arlo,"3/27/23, 14:30",Left,10,3,
Arlo,"3/27/23, 13:01",Left,7,,
Arlo,"3/27/23, 11:40",Right,,13,
Arlo,"3/27/23, 10:00",Left,13,8,
Arlo,"3/27/23, 06:45",,4,8,
Arlo,"3/27/23, 04:30",Right,,9,
Arlo,"3/27/23, 03:23",Left,12,,
Arlo,"3/27/23, 01:50",Right,,14,
Arlo,"3/27/23, 00:04",Left,11,,
Arlo,"3/26/23, 21:52",Right,4,10,
Arlo,"3/26/23, 19:30",Left,10,,
Arlo,"3/26/23, 17:15",,6,11,
Arlo,"3/26/23, 15:00",,8,3,
Arlo,"3/26/23, 13:14",Right,,14,,What does this baby want? Idk maybe boob again?
Arlo,"3/26/23, 12:00",,10,3,
Arlo,"3/26/23, 10:20",Left,16,3,
Arlo,"3/26/23, 07:45",Left,12,5,
Arlo,"3/26/23, 05:45",Right,7,9,
Arlo,"3/26/23, 03:03",Left,8,5,
Arlo,"3/26/23, 00:00",,3,8,
Arlo,"3/25/23, 21:21",Left,8,4,
Arlo,"3/25/23, 19:45",Right,6,10,
Arlo,"3/25/23, 17:13",Left,14,,
Arlo,"3/25/23, 15:57",,7,3,
Arlo,"3/25/23, 14:40",Right,,14,
Arlo,"3/25/23, 12:50",,7,13,
Arlo,"3/25/23, 11:10",Left,10,,
Arlo,"3/25/23, 08:40",Left,8,4,
Arlo,"3/25/23, 05:56",Right,5,10,
Arlo,"3/25/23, 03:30",Right,2,6,
Arlo,"3/25/23, 00:50",Right,7,7,
Arlo,"3/24/23, 22:50",Right,10,10,
Arlo,"3/24/23, 21:00",,10,5,
Arlo,"3/24/23, 17:21",,10,8,
Arlo,"3/24/23, 15:53",,8,8,
Arlo,"3/24/23, 14:45",,2,10,
Arlo,"3/24/23, 13:18",Left,10,,
Arlo,"3/24/23, 12:10",Left,14,8,
Arlo,"3/24/23, 10:15",Right,,8,
Arlo,"3/24/23, 09:30",Left,11,5,
Arlo,"3/24/23, 07:12",,3,9,
Arlo,"3/24/23, 04:14",Left,10,3,
Arlo,"3/24/23, 02:13",Right,8,7,
Arlo,"3/24/23, 00:05",Left,7,,
Arlo,"3/23/23, 21:31",Right,,10,
Arlo,"3/23/23, 19:45",,10,4,
Arlo,"3/23/23, 17:30",,11,7,
Arlo,"3/23/23, 15:15",,8,10,
Arlo,"3/23/23, 13:15",Right,,11,
Arlo,"3/23/23, 11:15",Left,11,2,
Arlo,"3/23/23, 09:30",,5,13,
Arlo,"3/23/23, 08:00",,10,5,
Arlo,"3/23/23, 04:45",Right,3,10,
Arlo,"3/23/23, 02:50",,13,6,
Arlo,"3/23/23, 00:45",Left,13,3,
Arlo,"3/22/23, 22:05",Right,1,10,
Arlo,"3/22/23, 19:00",,7,9,
Arlo,"3/22/23, 16:30",,5,13,
Arlo,"3/22/23, 14:15",Right,2,10,
Arlo,"3/22/23, 12:34",,6,1,
Arlo,"3/22/23, 11:13",Left,11,6,
Arlo,"3/22/23, 09:00",Right,,8,
Arlo,"3/22/23, 07:00",,6,4,
Arlo,"3/22/23, 04:00",Left,7,7,
Arlo,"3/22/23, 00:45",Right,6,6,
Arlo,"3/21/23, 21:36",Left,13,,
Arlo,"3/21/23, 20:15",Right,,13,
Arlo,"3/21/23, 19:15",Left,13,,
Arlo,"3/21/23, 18:30",Left,13,,
Arlo,"3/21/23, 16:45",Right,5,10,
Arlo,"3/21/23, 14:00",Left,10,2,
Arlo,"3/21/23, 12:30",,4,7,
Arlo,"3/21/23, 11:12",Left,7,,
Arlo,"3/21/23, 09:50",Right,,14,
Arlo,"3/21/23, 08:15",,7,7,
Arlo,"3/21/23, 06:30",,10,5,
Arlo,"3/21/23, 01:50",,5,10,
Arlo,"3/21/23, 00:30",Left,8,,
Arlo,"3/20/23, 22:40",,11,5,
Arlo,"3/20/23, 20:15",,5,13,
Arlo,"3/20/23, 18:15",Left,13,2,
Arlo,"3/20/23, 16:00",Right,,12,
Arlo,"3/20/23, 14:15",,8,4,
Arlo,"3/20/23, 12:17",Right,,8,,Snack
Arlo,"3/20/23, 10:55",,11,4,
Arlo,"3/20/23, 09:00",Right,,8,
Arlo,"3/20/23, 07:37",Left,8,,
Arlo,"3/20/23, 05:54",Left,12,,
Arlo,"3/20/23, 03:30",Right,,12,
Arlo,"3/20/23, 01:43",Left,7,3,
Arlo,"3/19/23, 23:10",Left,7,4,
Arlo,"3/19/23, 20:45",,10,2,
Arlo,"3/19/23, 19:15",,7,7,
Arlo,"3/19/23, 18:04",Left,5,5,
Arlo,"3/19/23, 16:50",Right,5,12,
Arlo,"3/19/23, 15:53",Right,4,5,
Arlo,"3/19/23, 14:33",Right,10,10,
Arlo,"3/19/23, 11:50",Left,8,3,
Arlo,"3/19/23, 10:35",,5,10,
Arlo,"3/19/23, 09:15",,8,5,
Arlo,"3/19/23, 07:50",,2,9,
Arlo,"3/19/23, 05:50",Left,11,,
Arlo,"3/19/23, 04:22",Right,3,10,
Arlo,"3/19/23, 02:25",Left,14,,
Arlo,"3/18/23, 23:00",Right,6,11,
Arlo,"3/18/23, 20:15",Right,15,8,
Arlo,"3/18/23, 18:50",,11,3,
Arlo,"3/18/23, 16:30",,1,11,
Arlo,"3/18/23, 14:25",,5,10,
Arlo,"3/18/23, 12:00",,14,1,
Arlo,"3/18/23, 09:31",Right,,12,
Arlo,"3/18/23, 07:15",Left,12,4,
Arlo,"3/18/23, 04:35",Right,,7,
Arlo,"3/18/23, 02:45",Left,9,,
Arlo,"3/18/23, 00:05",Right,,12,
Arlo,"3/17/23, 21:50",,10,2,
Arlo,"3/17/23, 19:20",Left,9,,
Arlo,"3/17/23, 16:50",Left,7,3,
Arlo,"3/17/23, 14:50",Right,,10,
Arlo,"3/17/23, 13:15",Left,8,,
Arlo,"3/17/23, 11:29",Right,,5,,Snack 
Arlo,"3/17/23, 10:30",,9,9,
Arlo,"3/17/23, 08:57",Left,11,,
Arlo,"3/17/23, 06:00",,1,7,
Arlo,"3/17/23, 03:50",Left,8,,
Arlo,"3/17/23, 01:50",,3,7,
Arlo,"3/16/23, 23:30",,8,3,
Arlo,"3/16/23, 20:53",Right,3,6,
Arlo,"3/16/23, 19:15",,8,4,
Arlo,"3/16/23, 17:31",Right,,8,
Arlo,"3/16/23, 16:26",Left,7,4,
Arlo,"3/16/23, 14:43",Left,4,,
Arlo,"3/16/23, 11:00",,10,8,
Arlo,"3/16/23, 10:15",Right,,10,
Arlo,"3/16/23, 09:00",,7,3,
Arlo,"3/16/23, 07:10",,7,5,
Arlo,"3/16/23, 04:30",Right,,10,
Arlo,"3/16/23, 02:30",,6,5,
Arlo,"3/16/23, 00:30",,7,3,
Arlo,"3/15/23, 22:30",,5,4,
Arlo,"3/15/23, 21:50",,5,7,
Arlo,"3/15/23, 20:30",Left,12,6,,Snack @9pm
Arlo,"3/15/23, 18:50",,5,6,
Arlo,"3/15/23, 16:30",,6,6,
Arlo,"3/15/23, 14:29",,5,4,,Snack before nap 
Arlo,"3/15/23, 13:00",,5,7,
Arlo,"3/15/23, 10:55",Left,14,,
Arlo,"3/15/23, 09:35",Right,,13,
Arlo,"3/15/23, 08:40",Left,11,,
Arlo,"3/15/23, 06:50",,5,6,
Arlo,"3/15/23, 03:50",,6,5,
Arlo,"3/15/23, 01:11",Left,10,,
Arlo,"3/15/23, 00:05",Right,,5,
Arlo,"3/14/23, 22:39",Left,11,4,
Arlo,"3/14/23, 20:15",,15,5,
Arlo,"3/14/23, 18:00",,15,4,
Arlo,"3/14/23, 16:00",,5,11,
Arlo,"3/14/23, 14:20",,10,4,
Arlo,"3/14/23, 12:00",,5,12,
Arlo,"3/14/23, 09:30",Right,10,11,
Arlo,"3/14/23, 06:40",Left,9,,
Arlo,"3/14/23, 04:40",Right,,12,
Arlo,"3/14/23, 02:50",Left,9,1,
Arlo,"3/13/23, 23:35",Right,4,11,
Arlo,"3/13/23, 21:00",,8,12,
Arlo,"3/13/23, 19:40",Left,10,,
Arlo,"3/13/23, 18:20",,4,7,
Arlo,"3/13/23, 16:00",,4,7,
Arlo,"3/13/23, 13:30",Left,8,8,
Arlo,"3/13/23, 11:45",,10,5,
Arlo,"3/13/23, 10:15",,1,12,
Arlo,"3/13/23, 07:45",Left,10,,
Arlo,"3/13/23, 04:58",Right,1,12,
Arlo,"3/13/23, 03:05",,10,4,
Arlo,"3/13/23, 00:00",,7,11,
Arlo,"3/12/23, 22:15",Right,,12,
Arlo,"3/12/23, 20:45",,9,5,
Arlo,"3/12/23, 18:33",Left,6,,
Arlo,"3/12/23, 18:28",Left,12,10,
Arlo,"3/12/23, 16:07",Right,,9,
Arlo,"3/12/23, 15:04",Left,8,,
Arlo,"3/12/23, 13:36",Left,7,11,
Arlo,"3/12/23, 12:00",,7,12,
Arlo,"3/12/23, 10:08",Left,7,8,
Arlo,"3/12/23, 08:37",Right,4,7,
Arlo,"3/12/23, 05:56",Left,5,9,
Arlo,"3/12/23, 04:20",Right,3,8,
Arlo,"3/12/23, 01:06",Left,12,4,
Arlo,"3/11/23, 23:39",Left,6,2,
Arlo,"3/11/23, 21:40",Right,,15,
Arlo,"3/11/23, 20:27",Left,7,,
Arlo,"3/11/23, 19:05",Right,7,10,
Arlo,"3/11/23, 16:41",Left,12,5,
Arlo,"3/11/23, 15:06",Right,10,6,
Arlo,"3/11/23, 13:05",Right,5,10,
Arlo,"3/11/23, 11:11",Left,10,,
Arlo,"3/11/23, 10:20",Right,8,6,
Arlo,"3/11/23, 08:40",Left,10,3,
Arlo,"3/11/23, 06:40",Left,7,7,
Arlo,"3/11/23, 03:38",Left,10,7,
Arlo,"3/11/23, 01:40",,2,8,
Arlo,"3/11/23, 00:04",,8,4,
Arlo,"3/10/23, 22:30",,8,12,
Arlo,"3/10/23, 20:45",Left,11,,
Arlo,"3/10/23, 18:45",,6,7,
Arlo,"3/10/23, 16:15",,4,10,
Arlo,"3/10/23, 14:35",Right,,10,
Arlo,"3/10/23, 14:00",Left,10,,
Arlo,"3/10/23, 12:13",Right,8,9,
Arlo,"3/10/23, 10:29",Left,12,,
Arlo,"3/10/23, 08:50",,5,7,
Arlo,"3/10/23, 06:30",,8,5,
Arlo,"3/10/23, 04:37",,10,12,
Arlo,"3/10/23, 02:20",,13,6,
Arlo,"3/9/23, 23:25",,5,13,
Arlo,"3/9/23, 20:20",Left,3,,
Arlo,"3/9/23, 19:35",Right,,10,
Arlo,"3/9/23, 18:23",Left,8,6,
Arlo,"3/9/23, 16:15",,7,9,
Arlo,"3/9/23, 13:36",,8,8,
Arlo,"3/9/23, 12:04",,7,5,
Arlo,"3/9/23, 11:05",,12,12,
Arlo,"3/9/23, 08:00",,8,9,
Arlo,"3/9/23, 05:00",,4,8,
Arlo,"3/9/23, 03:18",,10,8,
Arlo,"3/9/23, 01:12",Left,4,10,
Arlo,"3/8/23, 23:52",Left,10,,
Arlo,"3/8/23, 22:15",,6,10,
Arlo,"3/8/23, 21:22",Right,,15,
Arlo,"3/8/23, 20:06",,12,2,
Arlo,"3/8/23, 17:50",Right,,12,
Arlo,"3/8/23, 15:51",,15,10,
Arlo,"3/8/23, 13:31",,11,4,
Arlo,"3/8/23, 10:35",Right,,12,
Arlo,"3/8/23, 09:55",Left,10,,
Arlo,"3/8/23, 08:20",Right,,13,
Arlo,"3/8/23, 06:30",,8,7,
Arlo,"3/8/23, 03:30",Right,10,7,
Arlo,"3/8/23, 01:09",Left,9,5,
Arlo,"3/7/23, 22:33",Right,,10,
Arlo,"3/7/23, 21:23",,11,6,
Arlo,"3/7/23, 18:48",,15,7,
Arlo,"3/7/23, 16:30",Left,5,8,
Arlo,"3/7/23, 13:44",Left,15,,
Arlo,"3/7/23, 11:15",Left,5,5,
Arlo,"3/7/23, 10:10",Left,8,7,
Arlo,"3/7/23, 07:20",Left,10,4,
Arlo,"3/7/23, 04:01",,5,5,
Arlo,"3/7/23, 02:15",Left,7,10,
Arlo,"3/6/23, 23:22",Left,9,3,
Arlo,"3/6/23, 21:05",Left,9,11,
Arlo,"3/6/23, 19:05",,1,15,
Arlo,"3/6/23, 16:12",Left,7,6,
Arlo,"3/6/23, 14:39",Left,4,,
Arlo,"3/6/23, 13:19",Right,,12,
Arlo,"3/6/23, 10:34",Right,5,15,
Arlo,"3/6/23, 09:10",Right,,2,
Arlo,"3/6/23, 07:50",Left,5,6,
Arlo,"3/6/23, 05:27",Right,10,9,
Arlo,"3/6/23, 01:58",Right,15,12,
Arlo,"3/5/23, 23:52",Right,11,11,
Arlo,"3/5/23, 23:29",Left,2,,
Arlo,"3/5/23, 23:04",Right,5,6,
Arlo,"3/5/23, 22:26",Left,11,,
Arlo,"3/5/23, 21:11",Right,4,17,
Arlo,"3/5/23, 19:24",Left,9,,
Arlo,"3/5/23, 17:49",Left,12,12,
Arlo,"3/5/23, 16:01",Right,5,12,
Arlo,"3/5/23, 13:50",Left,10,2,
Arlo,"3/5/23, 11:38",Left,14,10,
Arlo,"3/5/23, 09:02",Left,17,14,
Arlo,"3/5/23, 06:12",Right,13,,
Arlo,"3/5/23, 04:53",Right,9,11,
Arlo,"3/5/23, 03:36",Left,9,,
Arlo,"3/5/23, 02:12",Right,3,12,
Arlo,"3/5/23, 01:24",Left,4,,
Arlo,"3/5/23, 00:21",Left,11,8,
Arlo,"3/4/23, 23:02",Right,,7,
Arlo,"3/4/23, 22:32",Left,5,,
Arlo,"3/4/23, 20:57",Right,10,7,
Arlo,"3/4/23, 19:30",Left,23,8,
Arlo,"3/4/23, 18:35",Right,,12,
Arlo,"3/4/23, 17:51",Left,15,,
Arlo,"3/4/23, 17:30",Right,,7,
Arlo,"3/4/23, 16:06",Left,12,1,,"Bedroom, slow after nap"
Arlo,"3/4/23, 14:06",Left,14,13,
Arlo,"3/4/23, 12:21",Right,,16,
Arlo,"3/4/23, 10:24",Left,13,7,
Arlo,"3/4/23, 08:28",Left,15,8,
Arlo,"3/4/23, 05:44",Left,11,10,
Arlo,"3/4/23, 03:29",Right,,15,
Arlo,"3/4/23, 01:40",Left,14,,
Arlo,"3/4/23, 00:36",Left,,6,
Arlo,"3/3/23, 23:36",Left,12,,
Arlo,"3/3/23, 22:34",Left,14,8,
Arlo,"3/3/23, 20:49",Right,4,22,
Arlo,"3/3/23, 17:52",Left,16,1,
Arlo,"3/3/23, 15:28",Right,13,18,
Arlo,"3/3/23, 13:38",Left,15,,
Arlo,"3/3/23, 11:36",Left,24,16,
Arlo,"3/3/23, 09:19",Left,25,19,
Arlo,"3/3/23, 05:50",Right,,26,
Arlo,"3/3/23, 05:16",Right,,5,
Arlo,"3/3/23, 03:02",Left,24,,
Arlo,"3/3/23, 01:48",Left,2,12,
Arlo,"3/3/23, 00:54",Left,8,,
Arlo,"3/3/23, 00:28",Left,5,,
Arlo,"3/2/23, 23:35",Left,11,,
Arlo,"3/2/23, 22:53",Right,1,8,
Arlo,"3/2/23, 22:26",Right,,11,
Arlo,"3/2/23, 20:52",,15,25,
Arlo,"3/2/23, 19:17",Right,39,1,
Arlo,"3/2/23, 19:15",Right,15,14,
Arlo,"3/2/23, 16:52",Left,19,,
Arlo,"3/2/23, 16:33",,3,12,
Arlo,"3/2/23, 13:05",,2,13,
Arlo,"3/2/23, 10:35",,1,5,
Arlo,"3/2/23, 10:12",,12,5,
Arlo,"3/2/23, 09:10",,10,13,
Arlo,"3/2/23, 02:33",,5,1,
Arlo,"3/1/23, 22:40",,20,6,
